Nom du serveur;IP du serveur
lnv1812w069.ign.fr;10.137.1.2
ws1-nancy.ign.fr;192.168.113.54
chlpsiteintft2.ign.fr;192.168.113.40
inv-prod.ign.fr;172.27.5.211
inv-exp.ign.fr;172.27.5.210
soif.ign.fr;192.134.133.56
ifn-cotedivoire.ign.fr;172.27.0.33
eforest.ign.fr;10.6.0.92
Inventaire-forestier-admin.ign.fr;192.134.132.10
ocre.ign.fr;172.26.1.232
papi.ign.fr;172.26.1.114
pommier.ign.fr;172.27.5.213
kriek2.ign.fr;172.26.0.72
el1907w092.ign.fr;
dryades.ign.fr;172.26.1.211
octopus.ign.fr;172.26.0.25
rpg-qual-20.ign.fr;10.128.64.4
rpg-qual-21.ign.fr;10.128.64.5
figue.ign.fr;172.26.1.148
patafix3.ign,fr;172.26.1.48
babylone3.ign.fr;172.26.1.50
sga.ign.fr;10.128.38.68
pomme.ign.fr;172.26.1.42
rgealti_sandbox.ign.fr;10.128.38.74
rgealti_cobalt.ign.fr;10.128.38.73
SMLPRGALTIBD1.ign.fr;10.128.38.71
RKS1409W140.ign.fr;172.18.0.88
rpcu-p-data1;172.26.2.43
rpcu-p-data2;172.26.2.54
SERVEUR-SDC1;172.21.1.34
PG-SDC1 (PROD);172.26.0.235
PG-SDC1 (DEV);172.26.0.235
PG-SDC2;172.26.1.82
PG-SDC3;172.26.1.87
PG-INCA;172.26.1.141
PG-PLAN-IGN;172.26.0.92
PG-PROD-SCAN;172.26.0.131
egon.toulouse.ign.fr;172.24.0.29
vmbdsis.ign.fr;172.26.2.32
gestion-sp.ign.fr;172.24.0.40
ortho-gpao;172.26.2.100
ortho-gpaov2-postgres;10.128.38.197
smlppacko1bd1;10.128.35.43
vmbdsia;172.26.2.63
cadillac2;172.26.1.97
altesse2;192.134.134.40
coruscante;172.26.0.112
anesidora2;172.26.0.140
bd-doris;10.128.37.199
devsgn-admin;192.134.132.32
Store-sgn;172.26.0.105
