npp;donnee;old_value;new_value
24-01-253-1-149T;OH;2;0
24-03-212-1-158T;ROCHE;408;930
24-69-242-1-162T;ROCHE;233;230
24-27-129-1-075T;HUMUS;31;22
24-56-057-1-143T;HUMUS;81;80
24-56-057-1-143T;TSOL;89;83
24-72-120-1-124T;PCALF;0;X
24-72-130-1-116T;HUMUS;31;28
24-72-130-1-116T;_HUMUS;28;31
24-72-130-1-116T;TSOL;11;82
24-72-130-1-116T;_TSOL;82;11
24-49-118-1-135T;TSOL;89;83
24-49-106-1-147T;TSOL;10;08
24-49-107-1-147T;TSOL;10;08
19-37-135-1-131R;ROCHE;234;230
24-14-093-1-095T;ROCHE;234;230
19-72-124-1-119R;ROCHE;233;230
24-41-164-1-118T;ROCHE;233;230
24-41-166-1-126T;ROCHE;233;230
24-41-168-1-122T;ROCHE;233;230
24-41-168-1-128T;ROCHE;233;230
24-41-169-1-125T;ROCHE;233;230
24-41-171-1-123T;ROCHE;233;230
24-60-152-1-058T;ROCHE;233;230
24-03-219-1-143T;HAB1;41.55B;41.22A
24-03-219-1-143T;_HAB1;NA;41.55A
24-07-256-1-178T;HAB1;41.57B;41.71C
24-07-256-1-178T;_CARACTHAB;NA;1
24-71-226-1-124T;HAB1;41.14F;41.14A
24-71-226-1-124T;_HAB1;41.14A;41.14F
24-73-273-1-147T;_HAB1;NA;41.13J
24-57-247-1-031T;OH;1;0
24-59-156-1-014T;HUMUS;31;40
24-08-207-1-038T;ROCHE;234;230
24-08-197-1-023T;HAB1;41.57A;41.511BA
24-32-176-1-270T;PCALF;0;NA
24-32-160-1-256T;ROCHE;233;230
24-32-160-1-256T;ROCHE;233;230
24-33-114-1-212T;ROCHE;233;230
24-40-125-1-275T;ROCHE;233;230
24-13-296-1-232T;HUMUS;55;45
24-04-295-1-195T;ROCHE;408;330
24-04-295-1-197T;ROCHE;408;330
24-04-301-1-189T;ROCHE;408;330
24-04-305-1-199T;ROCHE;408;330
24-05-301-1-185T;ROCHE;408;330
24-05-303-1-185T;ROCHE;408;330
24-09-191-1-281T;ROCHE;408;330
24-09-208-1-282T;ROCHE;408;330
24-66-229-1-277T;ROCHE;408;330
24-81-196-1-244T;ROCHE;500;230
24-81-201-1-245T;ROCHE;500;230
24-13-273-1-231T;ROCHE;334;230
24-34-245-1-245T;ROCHE;334;230
24-11-233-1-259T;ROCHE;333;330
24-83-323-1-219T;ROCHE;233;230
24-84-274-1-206T;ROCHE;333;330
24-23-167-1-171T;HAB2;41.14H;41.14F
24-26-287-1-203T;TSOL;09;10
24-66-227-1-279T;HAB1;41.12P;41.12MB
