Essence;ESS;Delta_moy[%]
Chêne pédonculé;02;-0.72
Chêne sessile;03;-2.87
Chêne rouge d’Amérique;04;-0.27
Chêne pubescent;05;0.59
Chêne vert;06;-1.61
Chêne tauzin;07;-0.27
Chêne liège;08;-0.27
Hêtre;09;-3.85
Châtaignier;10;-0.27
Charme;11;-1.61
Bouleau;12;-1.61
Grand aulne;13;-1.61
Robinier faux-acacia;14;-0.27
Grand érable;15;-1.61
Micocoulier;16;-0.27
Frêne;17;-0.27
Orme;18;-0.27
Peuplier cultivé;19;-1.61
Tilleul;20;-1.61
Petit érable;21;-1.61
Cerisier/merisier;22;-1.61
Autre fruitier;23;-1.61
Tremble;24;-1.61
Saule;25;-1.61
Platane;26;-1.61
Noyer;27;-1.61
Olivier;28;-1.61
Autre feuillu exotique;29;-1.61
Mûrier;30;-0.27
Noisetier;31;-0.27
Charme-houblon;32;-1.61
Peuplier non cultivé;33;-1.61
Chêne chevelu;34;-0.27
Tamaris;35;-1.61
Eucalyptus;36;-1.61
Aulne vert;37;-1.61
Grand cytise;38;-1.61
Cornouiller mâle;39;-1.61
Arbousier;40;-1.61
Alisier torminal;41;-1.61
Tulipier de Virginie;42;-1.61
Autre feuillu indigène;49;-1.61
Pin maritime;51;0.02
Pin sylvestre;52;-0.45
Pin laricio;53;-0.81
Pin noir;54;-0.81
Pin pignon;55;-0.81
Pin weymouth;56;-0.81
Pin d’Alep;57;-0.81
Pin à crochets;58;-0.81
Pin cembro;59;-0.81
Pin mugo;60;-0.81
Sapin pectiné;61;-1.39
Epicéa commun;62;-0.94
Mélèze d’Europe;63;-0.81
Douglas;64;-0.81
Cèdre de l’Atlas;65;-0.81
Cyprès;66;-0.81
If;67;-0.81
Autre conifère exotique;68;-0.81
Genévrier;69;-0.81
Sapin méditerranéen;70;-0.81
Sapin de Nordmann;71;-0.81
Sapin américain;72;-0.81
Epicéa de Sitka;73;-0.81
Mélèze exotique;74;-0.81
Autre conifère indigène;75;-0.81
Cèdre du Liban;76;-0.81
Pin à encens;77;-0.81
