npp;hab1;hab2;hab1_corrige;hab2_corrige;s_hab2;qualhab2;obshab2;
23-30-262-1-211T;32.18A;;41.711AA;;;;;
23-13-276-1-227T;32.18A;;41.711AA;;;;;
23-06-334-1-203-T;32.18A;;41.711AA;;;;;
23-38-286-1-167T;41.21A;;42.21A;;;;;
23-29-016-1-139T;41.522A;;41.511C;;;;;
23-25-271-1-114T;41.112C;;41.13O;;;;;
23-09-200-1-283T;41.12MB;;41.14D;;;;;
23-09-200-1-289T;41.12MB;;41.14D;;;;;
23-65-167-1-288T;41.12O;;41.14D;;;;;
23-08-190-1-039T;41.13M;;41.13J;;;;;
23-68-283-1-084T;41.13S;;41.13O;;;;;
23-22-064-1-119T;41.21EB;;41.21A;;;;;
23-53-108-1-121T;41.21EB;;41.21A;;;;;
23-18-184-1-121T;41.21EB;;41.24D;;;;;
23-04-312-1-189T;;41.21G;;NA;NA;NA;NA;Hab2= 41.21G. Habitat hors greco. Faute de frappe avec 41.24G ? Mais 41.24G est habitat alpes du nord. Je propose de supprimer Hab2
23-80-149-1-044T;41.22B;;41.13A;;;;;
23-60-147-1-058T;41.22B;;41.32A;;;;;
23-38-283-1-162T;41.41R;;41.13PC;;;;;
23-03-212-1-147T;41.55B;;41.13G;;;;;
23-42-228-1-153T;41.55B;;41.13B;;;;;
23-42-229-1-154T;41.55B;;41.13G;;;;;
23-42-233-1-154T;41.55B;;41.13G;;;;;
23-42-234-1-159T;41.55B;;41.13G;;;;;
23-63-221-1-174T;41.55B;;41.14A;;;;;
23-63-231-1-182T;41.55B;;41.14A;;;;;
23-43-227-1-186T;41.55B;;41.14A;;;;;
23-43-232-1-191T;41.55B;;41.14D;;;;;
23-12-226-1-243T;41.5A;;41.14F;;;;;
23-07-254-1-193T;41.71L;;41.17A;;;;;
23-09-192-1-283T;41.71M;;41.71A;;;;;
23-66-234-1-279T;45.313A;;45.31H;;;;;
23-66-242-1-285T;45.31G;;45.313A;;;;;
23-67-276-1-053T;41.112A;;41.13S;;;;;
23-09-190-1-287T;41.14D;;41.12O;;;;;
23-38-273-1-178T;41.16E;;41.13J;;;;;
23-81-217-1-240T;41.23F;;41.27F;;;;;
23-03-191-1-146T;41.24B;;41.22B;;;;;
23-81-218-1-249T;41.57B;;41.71L;;;;;
23-06-326-1-191T;42.4221B;;42.31E;;;;;
