npp;hab1;hab1_corrige
04587-19030-4-0T;41.16US;41.17G
04587-27070-2-8T;41.17G;41.17A
04587-28010-3-6T;41.16US;42.31A
05587-13070-2-8T;41.17A;41.17G
05587-13090-4-2T;41.71A;41.71R
05587-17070-0-8T;42.31E;42.21B
05587-23050-3-4T;41.17A;41.17G
05596-11050-9-4T;41.16US;41.17G
12-04-157-1-072T;41.17A;41.17G
12-04-163-1-068T;41.16US;41.17G
12-04-165-2-066T;42.54A;42.42C
12-04-169-1-062T;41.16US;41.17G
12-04-169-1-066T;41.16US;41.17G
12-05-145-1-068T;41.17A;41.17G
12-05-151-1-060T;41.13O;41.13R
12-05-157-1-048T;41.16US;41.17G
12-05-163-1-058T;41.17G;41.17A
12-05-163-1-060T;41.16US;41.17G
12-05-163-2-056T;42.54A;42.42D
12-05-165-2-052T;42.31E;42.34A
12-06-177-1-068T;41.16US;42.31D
12-06-177-1-084T;41.17A;41.17G
12-38-282-1-180T;41.27D;41.13R
12-73-159-1-036T;42.216;42.21F
12-73-159-1-038T;41.16UN;42.21G
12-73-159-2-038T;41.16UN;42.21G
12-73-289-1-159T;41.112D;41.17G
12-73-294-1-154T;41.71AS;41.71A
12-74-288-1-136T;41.112D;41.13O
12-74-291-1-137T;41.16G;41.13R
12-83-173-1-088T;41.71A;41.71R
13-04-300-2-195T;41.17A;41.17G
13-04-312-2-201T;41.16AX;41.17G
13-04-314-2-203T;42.4221C;42.42A
13-05-314-2-173T;42.33A;42.34A
13-06-330-1-195T;41.71A;41.71R
13-06-334-2-195T;41.812A;41.81B
13-26-272-1-193T;41.16G;41.16S
13-26-282-1-187T;41.17A;41.17G
13-38-286-1-171T;41.27D;41.13R
13-38-286-2-173T;41.15J;41.15C
13-38-288-1-183T;41.16G;41.16S
13-73-300-2-161T;42.21C;42.21F
13-74-282-1-141T;42.4221A;42.4221B
14-04-298-1-194T;41.17A;41.17G
14-04-298-2-194T;41.17A;41.17G
14-04-308-2-190T;42.216;42.21F
14-04-310-1-202T;41.17A;41.17G
14-04-312-1-194T;42.31C;42.34A
14-04-312-2-186T;42.31D;42.34A
14-05-298-2-182T;41.16AX;41.17G
14-05-304-2-178T;41.16US;41.17G
14-06-336-1-188T;41.16US;41.17G
14-38-280-1-180T;41.16G;41.13R
14-38-283-1-179T;41.16G;41.13R
14-38-284-1-186T;41.17A;41.17G
14-38-286-1-168T;42.31D;42.21B
14-38-287-1-181T;41.16G;41.13R
14-73-283-1-153T;41.16G;41.13R
14-73-294-1-154T;41.16E;41.13J
14-73-302-2-160T;42.21C;42.21F
14-74-290-1-136T;41.16E;41.13R
15-04-293-1-198T;41.71AL;41.71A
15-04-293-1-204T;41.17A;41.16S
15-04-293-1-206T;41.17A;41.17G
15-04-295-1-194T;41.17A;41.17G
15-04-313-2-184T;42.33A;42.31A
15-04-313-2-192T;42.31E;42.33A
15-04-313-2-198T;41.16US;41.17G
15-05-301-1-178T;41.16US;41.17G
15-05-301-2-178T;41.16US;41.17G
15-05-303-1-174T;42.42C;42.4221C
15-26-285-1-186T;41.16G;41.13R
15-38-279-1-176T;41.16E;41.13J
15-38-283-1-174T;41.13O;41.13R
15-38-283-1-184T;41.16G;41.13R
16-04-296-1-203T;41.17A;41.17G
16-05-292-1-201T;41.17A;41.16S
16-06-324-1-207T;41.17A;41.71A
16-26-276-1-181T;41.16G;41.13R
16-38-282-1-181T;41.16G;41.13R
16-38-290-1-179T;41.16G;41.13R
16-73-304-1-149T;42.21F;42.21A
17-04-322-1-202T;41.812A;41.81B
17-06-320-1-206T;41.16AX;41.16S
17-26-280-1-190T;41.16AX;41.16S
17-38-281-1-181T;41.16G;41.13R
17-73-279-1-159T;41.27D;41.13R
17-73-290-1-160T;41.41T;41.13R
17-73-300-1-146T;42.21C;42.21A
18-04-310-1-183T;41.16US;41.17G
18-05-294-1-183T;41.112D;41.17G
18-05-300-1-181T;41.112D;41.17G
18-06-334-1-189T;41.16US;42.31E
18-38-286-1-171T;41.27D;41.13R
18-38-289-1-172T;41.27D;41.13R
18-73-294-1-151T;41.16G;41.13R
18-73-297-1-154T;41.16UN;42.21G
18-74-285-1-124T;41.13R;41.13O
19-04-292-1-206T;41.17A;41.17G
19-04-306-1-190T;41.16US;41.17G
19-04-310-1-190T;41.16US;42.21G
19-06-316-1-196T;41.16US;41.17G
19-06-326-1-194T;41.16US;41.17G
19-26-280-1-194T;42.58B;42.42M
19-26-286-1-206T;41.17A;41.17G
19-38-281-1-163T;41.16G;41.13R
19-38-290-1-178T;41.112D;41.17G
19-73-296-1-162T;42.21C;42.21G
20-04-312-1-200T;41.17A;41.17G
20-05-292-1-180T;41.13O;41.13R
20-05-300-1-170T;41.16US;41.17G
20-05-302-1-170T;41.16US;42.21G
20-26-274-1-178T;41.16G;41.13R
20-73-297-1-149T;41.13O;41.13R
21-05-304-1-179T;41.16US;41.17G
21-06-326-1-193T;42.55A;42.42C
21-38-284-1-185T;41.16G;41.13R
21-38-285-1-170T;41.112D;41.16AB
21-38-286-1-173T;41.13O;41.13R
21-73-288-1-163T;41.112D;41.17G
21-73-298-1-149T;42.21F;42.21DN
22-04-312-1-202T;41.16US;41.17G
22-05-310-1-174T;42.31D;42.34A
22-06-318-1-196T;41.16US;41.17G
22-26-269-1-181T;41.16G;41.13R
22-26-274-1-194T;41.17A;41.17G
22-38-286-1-170T;41.13O;41.13R
22-38-290-1-172T;41.13O;41.13R
22-73-298-1-162T;41.41T;41.13R
22-74-294-1-138T;41.41M;41.13R
23-05-292-1-181T;41.13O;41.13R
23-05-294-1-183T;41.112D;41.17G
23-05-306-1-177T;41.16US;42.33A
23-05-314-1-173T;41.16US;41.17G
23-06-330-1-193T;42.55A;42.4221B
23-38-288-1-173T;41.16UN;42.21B
24-04-309-1-189T;41.16US;41.17G
24-04-311-1-193T;41.16US;41.17G
24-04-319-1-203T;41.17A;41.16S
24-05-289-1-185T;42.42G;42.4221B
24-05-301-1-187T;41.17A;41.17G
24-26-271-1-181T;41.16G;41.13R
24-38-281-1-179T;41.16G;41.13R
24-38-287-1-169T;42.21G;42.21B
24-73-278-1-158T;41.16G;41.13R
24-74-286-1-132T;41.16G;41.13R
74585-16050-8-4T;41.16G;41.13R
84577-29010-6-6T;41.17A;41.17G
